Sort ,Name,Group,Loop,Condition,Qty,Value,Markup,Comment
300,Single Door Glazed Frame Design 1.1 upto 2m Sq,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 1)and frame_transom_qty == 0 and not is_front_door and frame_area <= 2.0,1,2500,no_markup,
310,New Single Door Glazed and fanlight (1. 2) upto 2.5 m Sq,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 2)and frame_transom_qty == 1 and not is_front_door and frame_area <= 2.5,1,3500,no_markup,
320,New Double Door Glazed (2. 1) Upto 2.5m Sq,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 2)and frame_transom_qty == 0 and not is_front_door and frame_area <= 2.5,1,4000,no_markup,
330,New Double Door Glazed and fanlight (2. 2) upto 3 m Sq ,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 3)and frame_transom_qty == 1 and not is_front_door and frame_area <= 3,1,4500,no_markup,
340,Single Entrance Door Frame Design 1.1 upto 2m Sq Upto 3 Panels,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 1)and frame_transom_qty == 0 and is_front_door and frame_area <= 2.0 and panel_qty + glass_unit_qty == 3,1,5000,no_markup,
350,Single Entrance Door Frame and Fanlight Design 1.2 upto 2.5m Sq and Upto 3 Panels,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 2)and frame_transom_qty == 1 and is_front_door and frame_area <= 2.5 and panel_qty <= 3 and panel_qty + glass_unit_qty == 4,1,5500,no_markup,
360,Single Entrance Door Frame Design 1.1 upto 2m Sq 4 Panels,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 1)and frame_transom_qty == 0 and is_front_door and frame_area <= 2.0 and panel_qty + glass_unit_qty == 4,1,6000,no_markup,
370,Single Entrance Door Frame and Fanlight Design 1.2 upto 2.5m Sq and 4 Panels,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 2)and frame_transom_qty == 1 and is_front_door and frame_area <= 2.5 and panel_qty <= 4 and panel_qty + glass_unit_qty == 5,1,6500,no_markup,
380,Single Internal Door Frame Design 1.1 upto 2m Sq 1 Panel,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 1)and frame_transom_qty == 0 and not is_front_door and frame_area <= 2.0 and sash_thickness <= 40 and panel_qty + glass_unit_qty == 1,1,2000,no_markup,
390,Single Internal Door Frame Design 1.1 upto 2m Sq 2 Panel,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 1)and frame_transom_qty == 0 and not is_front_door and frame_area <= 2.0 and sash_thickness <= 40 and panel_qty + glass_unit_qty == 2,1,2250,no_markup,
400,Single Internal Door Frame Design 1.1 upto 2m Sq 4 Panel,New Frames or Complete New (PL),n/a,new_frame_qty >= 1 and (door_leaf_qty + casement_sash_qty + direct_glazed_unit_qty == 1)and frame_transom_qty == 0 and not is_front_door and frame_area <= 2.0 and sash_thickness <= 40 and panel_qty + glass_unit_qty == 4,1,2500,no_markup,
450,Additional Panels Extra per Panel,New Joinery extras (PL),door leaf,to_be_replaced and panel_qty > 4,1,500,no_markup,
302,Glazing bars- Astragal (Price Per Pane £ 4_2_glazing_bars_per_pane_astragal),New Joinery extras (PL),sash,to_be_replaced and not (is_heritage or is_individual_panes)and (visible_glass_pane_qty > 1),visible_glass_pane_qty,4_2_glazing_bars_per_pane_astragal,no_markup,
303,Square Head arched Top Rail (£4_3_arched_top_rail_square_head),New Joinery extras (PL),sash,to_be_replaced and is_square_top_with_arched_sightline and not is_curved_head_sash,1,4_3_arched_top_rail_square_head,no_markup,
304,Arched Head and Arched Top Rail (£4_3_arched_top_rail_square_head),New Joinery extras (PL),sash,to_be_replaced and is_curved_head_sash,1,4_4_arched_top_rail_and_head,no_markup,
305,Sash Horns (£4_7_horns),New Joinery extras (PL),sliding sash,to_be_replaced and has_horn,1,4_7_horns,no_markup,
306,Arched Outer Jamb Square Head -Sash Windows,New Joinery extras (PL),frame,to_be_replaced and is_sw and has_arched_outer_jamb,1,4_5_arched_outer_jamb_sash_window,no_markup,
307,to_be_replaced and has_curved_outer_head,New Joinery extras (PL),frame,to_be_replaced and has_curved_outer_head,1,4_6_arched_frame,no_markup,
401,Special Single glazed Glass Type,Glass extras (PL),glass unit,to_be_replaced and is_single_pane_special,rounded_area,single_pane_cost,no_markup,
402,External Special Glass Type,Glass extras (PL),glass unit,to_be_replaced and is_outer_pane_special,rounded_area,outer_pane_cost,no_markup,
403,Internal Special Glass Type,Glass extras (PL),glass unit,to_be_replaced and is_outer_pane_special,rounded_area,outer_pane_cost,no_markup,
450,Ironmongery - part_name,Ironmongery and Hardware (PL),ironmongery part,is_special,qty,cost,no_markup,
301,Glazing bars- Solid Price Per Pane 4_2_glazing_bars_per_pane_solid,New Joinery extras (PL),sash,to_be_replaced and (is_heritage or is_individual_panes) and (visible_glass_pane_qty > 1),visible_glass_pane_qty,4_1_glazing_bars_per_pane_solid,no_markup,
502,Sash Window Decoration Full Refurb only Not new Sashes,Installation (PL),sliding sash,needs_draughtsealing and not to_be_replaced and is_decoration_included,1,1_4_decorate_full_sashes_2,no_markup,
505,Splice repair (£1_5_splice_repair) Fitting each,Installation (PL),n/a,,splice_repair_qty,1_5_splice_repair,no_markup,
506,Resin repair (£1_6_resin_repair) Fitting each,Installation (PL),n/a,,resin_repair_qty,1_6_resin_repair,no_markup,
507,Fill repair(£1_7_fill_repair) Fitting each,Installation (PL),n/a,,fill_repair_qty,1_7_fill_repair,no_markup,
508,Glass pane replacement (£1_8_glass_pane_replacement) Fitting each,Installation (PL),n/a,,hoarg_qty,1_8_glass_pane_replacement,no_markup,
509,Cill replacement (£1_9_cill_replacement) Fitting each,Installation (PL),n/a,,new_cill_qty,1_9_cill_replacement,no_markup,
511,Fit new pair of sashes to existing Including Draught sealing (Per Pair £2_1_fit_new_sashes_to_existing),Installation (PL),sliding sash,to_be_replaced and (is_opening or is_fixed) and not is_complete_new,1,2_1_fit_new_sashes_to_existing_2,no_markup,
512,Decoration Frame with New Sashes (Part),Installation (PL),sliding sash,to_be_replaced and is_decoration_included,1,1_3_decorate_part_sashes_2,no_markup,
513,Install New Single Sash Window,Installation (PL),frame,to_be_replaced and is_sw and frame_mullion_qty == 0,1,2_2_install_complete_new_single__sash_window,no_markup,
514,Install New Double Sash Window,Installation (PL),frame,to_be_replaced and is_sw and frame_mullion_qty == 1,1,2_3_install_complete_new_double__sash_window,no_markup,
515,Install New Triple Sash Window,Installation (PL),frame,to_be_replaced and is_sw and frame_mullion_qty == 2,1,2_4_install_complete_new_triple__sash_window,no_markup,
517,Fit New architraves and windowboard,Installation (PL),n/a,new_frame_qty > 0 and has_architrave and is_installation_included,new_frame_qty,2_5_fit_architraves_and__bullnose,no_markup,
518,Fit liners,Installation (PL),n/a,new_frame_qty > 0 and has_lining and is_installation_included,new_frame_qty,2_6_fit_liners,no_markup,
520,Draught sealing Casement Window,Installation (PL),casement sash,needs_draughtsealing and not to_be_replaced and (is_opening or is_fixed),1,1_2_draught_seal_casement,no_markup,
521,Decorate Casement Window,Installation (PL),casement sash,is_decoration_included and not to_be_replaced and (is_opening or is_fixed),1,1_41_decorate_full_casement,no_markup,
522,Casement Decoration Part Refurb (Replacement),Installation (PL),casement sash,is_decoration_included and to_be_replaced and (is_opening or is_fixed),1,1_42_decorate_part_casement,no_markup,
523,Fit Casement to existing,Installation (PL),casement sash,needs_draughtsealing and to_be_replaced and (is_opening or is_fixed),1,2_12_fit_new_casement_to_existing,no_markup,
524,Fit Casement Window Complete,Installation (PL),frame,to_be_replaced and casement_sash_qty > 0,1,2_11_fit_new_casement_window,no_markup,
525,Fit Casement Window Complete New Openers,Installation (PL),frame,new_opening_casement_sash_qty,1,2_7_fit_casement_opener,no_markup,
601,Poa Additional Prices,POA,drawing poa,,1,1,no_markup
